dist_err,waypoint_idx
0.0680623,131
0.0530093,132
0.0553116,132
0.0735867,132
0.0584682,133
0.0691186,133
0.0533729,134
0.0577328,134
0.0760361,134
0.0540284,135
0.0579762,135
0.047787,136
0.0495613,136
0.0660965,136
0.05311,137
0.0542026,137
0.0766927,137
0.0570116,138
0.0764557,138
0.0592854,139
0.0696588,139
0.0606805,140
0.0640112,140
0.0824485,140
0.0709703,141
0.0801316,141
0.099161,141
0.0662794,142
0.0809224,142
0.0577771,143
0.0704085,143
0.053475,144
0.059393,144
0.0845424,144
0.0592606,145
0.0730276,145
0.050991,146
0.0572167,146
0.077536,146
0.0512275,147
0.068279,147
0.0763301,150
0.0578068,150
0.0512672,150
0.0520991,150
0.0675015,150
0.0793444,150
0.0964297,150
0.0529325,151
0.0433252,151
0.051081,151
0.064536,151
0.0849444,151
0.0391612,152
0.025898,152
0.0353288,152
0.0597676,152
0.0882226,152
0.0317859,153
0.0212157,153
0.0393513,153
0.0589831,153
0.074887,153
0.0323637,154
0.0202505,154
0.0400845,154
0.0572491,154
0.0867183,154
0.0424695,155
0.0400208,155
0.056957,155
0.0785983,155
0.106345,155
0.0585699,156
0.0670327,156
0.0851246,156
0.106402,156
0.126381,156
0.0940776,157
0.0834495,157
0.0769174,157
0.0747667,157
0.0830235,157
0.0898941,157
0.0547972,158
0.0415711,158
0.0333319,158
0.0416463,158
0.0593022,158
0.0861761,158
0.0236131,159
0.0208735,159
0.0470639,159
0.0780545,159
0.0133494,160
0.0268137,160
0.059456,160
0.0861018,160
0.0184369,161
0.0402198,161
0.0627527,161
0.0272954,162
0.0143576,162
0.0329587,162
0.0656196,162
0.0276327,163
0.0362716,163
0.0642116,163
0.0957966,163
0.0610802,164
0.0722253,164
0.0857659,164
0.110509,164
0.0719423,165
0.0657177,165
0.0739458,165
0.0831283,165
0.0964675,165
0.060565,166
0.0442057,166
0.0516289,166
0.0600244,166
0.0801289,166
0.0349095,167
0.0375184,167
0.0461344,167
0.0621,167
0.0739173,167
0.0524366,168
0.0406179,168
0.0438283,168
0.0492004,168
0.0559402,168
0.0718934,168
0.0312582,169
0.0342421,169
0.0472531,169
0.0643297,169
0.0305423,170
0.0262098,170
0.0433999,170
0.0636875,170
0.0385314,171
0.0254252,171
0.0265633,171
0.0409132,171
0.0590406,171
0.021643,172
0.0234827,172
0.0461011,172
0.0719245,172
0.0240749,173
0.0333562,173
0.0430949,173
0.0646502,173
0.01192,174
0.0291717,174
0.0519215,174
0.017862,175
0.0213067,175
0.0503361,175
0.0263602,176
0.0245793,176
0.0530859,176
0.0336983,177
0.0362902,177
0.0538556,177
0.0813378,177
0.0375268,178
0.0554018,178
0.0347472,179
0.037815,179
0.0643698,179
0.0402264,180
0.0498083,180
0.0731564,180
0.0427858,181
0.0569487,181
0.0826033,181
0.0581363,182
0.0837749,182
0.0600033,183
0.0769814,183
0.0699898,184
0.068317,184
0.0781839,184
0.0697994,185
0.0693562,185
0.0807343,185
0.0702794,186
0.0716364,186
0.0762424,186
0.0827628,186
0.0609717,187
0.0642097,187
0.0846736,187
0.0721817,188
0.0824003,188
0.0639997,189
0.0668237,189
0.0447761,190
0.0529372,190
0.0362004,191
0.048672,191
0.0380535,192
0.057886,192
0.0485965,193
0.063113,193
0.0598028,194
0.0668381,194
0.0856321,194
0.0634008,195
0.0777468,195
0.0595618,196
0.0649505,196
0.0492247,197
0.0699424,197
0.0575718,198
0.0824835,198
0.0869228,199
0.117438,199
0.159569,199
0.193286,199
0.225388,199
0.199087,201
0.189863,201
0.161032,200
0.133194,200
0.0881574,201
0.0552682,201
0.0324906,201
0.0496202,201
0.0374737,202
0.0480474,202
0.0705392,202
0.0551761,203
