xte,waypoint_idx
0.0180324,172
0.0240354,173
0.0193831,173
0.0159614,173
0.0120896,173
0.0104672,174
0.00698348,174
0.0135942,174
0.0155942,175
0.0139066,175
0.0121348,175
0.020251,176
0.0224162,176
0.0252701,176
0.0298794,177
0.0326969,177
0.0331139,177
0.0335874,177
0.0337363,178
0.0280666,178
0.0322587,179
0.0305937,179
0.0344033,179
0.039806,180
0.0401103,180
0.0424972,180
0.0417158,181
0.0411212,181
0.0449734,181
0.051014,182
0.0555544,182
0.0590333,183
0.0648236,183
0.0698014,184
0.0673007,184
0.0680197,184
0.0681429,185
0.069155,185
0.0707743,185
0.0692602,186
0.0712748,186
0.0704557,186
0.0660532,186
0.0609717,187
0.0602536,187
0.0640292,187
0.0712206,188
0.068577,188
0.0636855,189
0.05165,189
0.0446254,190
0.0393968,190
0.0361452,191
0.0364887,191
0.0380535,192
0.0433057,192
0.048362,193
0.0525602,193
0.0598021,194
0.0619013,194
0.0635986,194
0.0598986,195
0.0575043,195
0.0553073,196
0.0507121,196
0.0480953,197
0.0482336,197
0.0556701,198
0.065017,198
0.0869228,199
0.117438,199
0.136644,199
0.1131,199
0.100047,199
0.107716,201
0.112557,201
0.108046,200
0.10928,200
0.085338,201
0.0538428,201
0.0302265,201
0.0260003,201
0.0353373,202
0.0452139,202
0.0517698,202
0.0548901,203
0.06388,203
0.0656689,203
0.0629788,204
0.0569469,204
0.0546363,204
0.0461636,204
0.0333785,205
0.0273022,205
0.0179984,206
0.0131799,206
0.0120197,206
0.0104215,207
0.0151277,207
0.00980757,207
0.0147279,208
0.00433391,208
0.00643525,209
0.0110005,209
0.0238249,209
0.027819,210
0.0354176,210
0.0435502,210
0.0523802,211
0.0471838,211
0.0474765,212
0.0483493,212
0.045549,212
0.0470571,213
0.049255,213
0.0530435,213
0.0483814,214
0.0412657,214
0.0351719,214
0.0365781,215
0.0321253,215
0.0270366,216
0.0286931,216
0.0295701,217
0.0341738,217
0.0403131,218
0.0446754,218
0.0453453,219
0.045327,219
0.0462587,219
0.0440286,220
0.0466324,220
0.0488419,220
0.0518228,221
0.0540744,221
0.0555532,221
0.0565024,222
0.0538309,222
0.0554829,222
0.0494013,222
0.0485817,222
