x,y,z
-2.52157,-4.11395,-2.52157
-2.53667,-4.12507,-2.53667
-2.55932,-4.13619,-2.55932
-2.57442,-4.14731,-2.57442
-2.58952,-4.15843,-2.58952
-2.61216,-4.15843,-2.61216
-2.63481,-4.16955,-2.63481
-2.65746,-4.16955,-2.65746
-2.67256,-4.18067,-2.67256
-2.69521,-4.18067,-2.69521
-2.72541,-4.18067,-2.72541
-2.74806,-4.18067,-2.74806
-2.77071,-4.18067,-2.77071
-2.80091,-4.16955,-2.80091
-2.82355,-4.15843,-2.82355
-2.85375,-4.14731,-2.85375
-2.88395,-4.13619,-2.88395
-2.9066,-4.12507,-2.9066
-2.9368,-4.11395,-2.9368
-2.95945,-4.10284,-2.95945
-2.98965,-4.09172,-2.98965
-3.01229,-4.0806,-3.01229
-3.03494,-4.06948,-3.03494
-3.05759,-4.04724,-3.05759
-3.07269,-4.03612,-3.07269
-3.09534,-4.01388,-3.09534
-3.10289,-3.99165,-3.10289
-3.11799,-3.95829,-3.11799
-3.13309,-3.93605,-3.13309
-3.14064,-3.9027,-3.14064
-3.14819,-3.88046,-3.14819
-3.16329,-3.85822,-3.16329
-3.16329,-3.82487,-3.16329
-3.17084,-3.80263,-3.17084
-3.17084,-3.78039,-3.17084
-3.17084,-3.75815,-3.17084
-3.17084,-3.73591,-3.17084
-3.17084,-3.71368,-3.17084
-3.16329,-3.69144,-3.16329
-3.16329,-3.65808,-3.16329
-3.16329,-3.63585,-3.16329
-3.16329,-3.61361,-3.16329
-3.15574,-3.59137,-3.15574
-3.15574,-3.56913,-3.15574
-3.14819,-3.53578,-3.14819
-3.14064,-3.51354,-3.14064
-3.13309,-3.4913,-3.13309
-3.11799,-3.45795,-3.11799
-3.11044,-3.43571,-3.11044
-3.09534,-3.42459,-3.09534
-3.07269,-3.40235,-3.07269
-3.05759,-3.38011,-3.05759
-3.03494,-3.35788,-3.03494
-3.01984,-3.34676,-3.01984
-2.99719,-3.33564,-2.99719
-2.97455,-3.32452,-2.97455
-2.94435,-3.3134,-2.94435
-2.9217,-3.30228,-2.9217
-2.89905,-3.29116,-2.89905
-2.88395,-3.29116,-2.88395
-2.8613,-3.28004,-2.8613
-2.8462,-3.26893,-2.8462
-2.82355,-3.25781,-2.82355
-2.8009,-3.25781,-2.8009
-2.77071,-3.24669,-2.77071
-2.74051,-3.24669,-2.74051
-2.71031,-3.23557,-2.71031
-2.68011,-3.23557,-2.68011
-2.64991,-3.23557,-2.64991
-2.61971,-3.23557,-2.61971
-2.58952,-3.23557,-2.58952
-2.55932,-3.24669,-2.55932
-2.52912,-3.25781,-2.52912
-2.49892,-3.26893,-2.49892
-2.47627,-3.28004,-2.47627
-2.45362,-3.29116,-2.45362
-2.43097,-3.3134,-2.43097
-2.40833,-3.32452,-2.40833
-2.38568,-3.34676,-2.38568
-2.37058,-3.369,-2.37058
