x,y,z
-2.12144,-3.8471,-2.12144
-2.12899,-3.88046,-2.12899
-2.14409,-3.9027,-2.14409
-2.15164,-3.93605,-2.15164
-2.16674,-3.95829,-2.16674
-2.18184,-3.98053,-2.18184
-2.19694,-4.01389,-2.19694
-2.21204,-4.03612,-2.21204
-2.23468,-4.06948,-2.23468
-2.24978,-4.10284,-2.24978
-2.27243,-4.12507,-2.27243
-2.30263,-4.15843,-2.30263
-2.32528,-4.19179,-2.32528
-2.34793,-4.22514,-2.34793
-2.37813,-4.24738,-2.37813
-2.40833,-4.26962,-2.40833
-2.43852,-4.29185,-2.43852
-2.46872,-4.30297,-2.46872
-2.49892,-4.31409,-2.49892
-2.52912,-4.32521,-2.52912
-2.55932,-4.33633,-2.55932
-2.59707,-4.33633,-2.59707
-2.62726,-4.34745,-2.62726
-2.65746,-4.34745,-2.65746
-2.69521,-4.33633,-2.69521
-2.72541,-4.33633,-2.72541
-2.76316,-4.32521,-2.76316
-2.78581,-4.32521,-2.78581
-2.816,-4.31409,-2.816
-2.8462,-4.30297,-2.8462
-2.86885,-4.29185,-2.86885
-2.89905,-4.28074,-2.89905
-2.92925,-4.2585,-2.92925
-2.9519,-4.24738,-2.9519
-2.9821,-4.23626,-2.9821
-3.00474,-4.21402,-3.00474
-3.02739,-4.19179,-3.02739
-3.05759,-4.18067,-3.05759
-3.08024,-4.15843,-3.08024
-3.10289,-4.12507,-3.10289
-3.12554,-4.10283,-3.12554
-3.14819,-4.06948,-3.14819
-3.16329,-4.04724,-3.16329
-3.17839,-4.01388,-3.17839
-3.19348,-3.98053,-3.19348
-3.20103,-3.94717,-3.20103
-3.20858,-3.91382,-3.20858
-3.21613,-3.88046,-3.21613
-3.22368,-3.8471,-3.22368
-3.23123,-3.81375,-3.23123
-3.23123,-3.76927,-3.23123
-3.23123,-3.73591,-3.23123
-3.23878,-3.70256,-3.23878
-3.23123,-3.6692,-3.23123
-3.23123,-3.62473,-3.23123
-3.22368,-3.59137,-3.22368
-3.22368,-3.55801,-3.22368
-3.20858,-3.52466,-3.20858
-3.20103,-3.4913,-3.20103
-3.18593,-3.46906,-3.18593
-3.16329,-3.43571,-3.16329
-3.14064,-3.41347,-3.14064
-3.11799,-3.38011,-3.11799
-3.09534,-3.36899,-3.09534
-3.07269,-3.34676,-3.07269
-3.04249,-3.32452,-3.04249
-3.01229,-3.30228,-3.01229
-2.98209,-3.28004,-2.98209
-2.9519,-3.25781,-2.9519
-2.9217,-3.24669,-2.9217
-2.8915,-3.23557,-2.8915
-2.85375,-3.22445,-2.85375
-2.82355,-3.22445,-2.82355
-2.78581,-3.21333,-2.78581
-2.75561,-3.21333,-2.75561
-2.71786,-3.20221,-2.71786
-2.68011,-3.20221,-2.68011
-2.64991,-3.20221,-2.64991
-2.61216,-3.20221,-2.61216
-2.58197,-3.21333,-2.58197
-2.54422,-3.21333,-2.54422
-2.50647,-3.21333,-2.50647
-2.47627,-3.22445,-2.47627
-2.43852,-3.23557,-2.43852
-2.40832,-3.24669,-2.40832
-2.38568,-3.25781,-2.38568
-2.34793,-3.26893,-2.34793
-2.32528,-3.28004,-2.32528
-2.30263,-3.29116,-2.30263
-2.27998,-3.3134,-2.27998
-2.24978,-3.33564,-2.24978
-2.22713,-3.35788,-2.22713
-2.20449,-3.36899,-2.20449
-2.18939,-3.39123,-2.18939
-2.17429,-3.41347,-2.17429
-2.15919,-3.43571,-2.15919
-2.15164,-3.45795,-2.15164
-2.14409,-3.48018,-2.14409
-2.12899,-3.51354,-2.12899
-2.12899,-3.5469,-2.12899
-2.12144,-3.58025,-2.12144
-2.11389,-3.61361,-2.11389
-2.10634,-3.63585,-2.10634
-2.10634,-3.6692,-2.10634
-2.09879,-3.69144,-2.09879
-2.09124,-3.7248,-2.09124
-2.08369,-3.74703,-2.08369
-2.07614,-3.78039,-2.07614
-2.06859,-3.82487,-2.06859
-2.06859,-3.85822,-2.06859
-2.06859,-3.88046,-2.06859
-2.06859,-3.91382,-2.06859
-2.07614,-3.94717,-2.07614
-2.08369,-3.96941,-2.08369
-2.09879,-4.00277,-2.09879
-2.10634,-4.025,-2.10634
-2.12144,-4.04724,-2.12144
-2.12899,-4.06948,-2.12899
-2.15164,-4.09172,-2.15164
-2.15919,-4.11395,-2.15919
-2.18184,-4.13619,-2.18184
-2.18939,-4.14731,-2.18939
-2.21204,-4.16955,-2.21204
-2.22713,-4.18067,-2.22713
-2.24978,-4.19179,-2.24978
-2.26488,-4.2029,-2.26488
-2.29508,-4.21402,-2.29508
-2.31018,-4.21402,-2.31018
-2.33283,-4.22514,-2.33283
-2.35548,-4.22514,-2.35548
-2.38568,-4.22514,-2.38568
-2.40833,-4.23626,-2.40833
-2.43097,-4.23626,-2.43097
-2.45362,-4.23626,-2.45362
-2.48382,-4.24738,-2.48382
-2.52157,-4.24738,-2.52157
-2.55177,-4.2585,-2.55177
-2.58197,-4.26962,-2.58197
-2.61216,-4.26962,-2.61216
-2.63481,-4.28074,-2.63481
-2.67256,-4.29185,-2.67256
-2.69521,-4.29185,-2.69521
-2.72541,-4.29185,-2.72541
-2.75561,-4.28074,-2.75561
-2.78581,-4.28074,-2.78581
-2.816,-4.26962,-2.816
-2.8462,-4.2585,-2.8462
-2.8764,-4.24738,-2.8764
-2.9066,-4.23626,-2.9066
-2.9368,-4.21402,-2.9368
-2.95945,-4.19179,-2.95945
-2.98965,-4.16955,-2.98965
-3.01229,-4.14731,-3.01229
-3.02739,-4.12507,-3.02739
-3.04249,-4.09172,-3.04249
-3.06514,-4.06948,-3.06514
-3.08024,-4.03612,-3.08024
-3.09534,-4.01388,-3.09534
-3.11044,-3.99165,-3.11044
-3.13309,-3.96941,-3.13309
-3.14064,-3.93605,-3.14064
-3.16329,-3.91382,-3.16329
-3.17084,-3.89158,-3.17084
-3.17839,-3.85822,-3.17839
-3.18593,-3.83598,-3.18593
-3.19348,-3.80263,-3.19348
-3.19348,-3.78039,-3.19348
-3.19348,-3.75815,-3.19348
-3.19348,-3.73591,-3.19348
-3.19348,-3.71368,-3.19348
-3.18593,-3.69144,-3.18593
-3.18593,-3.6692,-3.18593
-3.19348,-3.64696,-3.19348
-3.18593,-3.62473,-3.18593
-3.18593,-3.60249,-3.18593
-3.17084,-3.59137,-3.17084
-3.16329,-3.56913,-3.16329
