xte,waypoint_idx
0.0428719,146
0.038976,146
0.0348514,146
0.0356105,147
0.0290365,147
0.0323033,148
0.0376094,148
0.0495211,148
0.0575098,149
0.0865975,150
0.0810099,150
0.0849357,151
0.0906368,151
0.0945254,151
0.0991548,151
0.100124,151
0.103588,152
0.0991301,152
0.108994,152
0.108661,152
0.118145,152
0.113432,152
0.113746,153
0.107326,153
0.102245,153
0.0950788,153
0.0939228,153
0.0835669,153
0.0761479,153
0.069498,154
0.0576548,154
0.0457319,154
0.0452852,154
0.0402079,154
0.0327273,154
0.0215178,155
0.00828285,155
0.010708,155
0.0169742,155
0.0141868,156
0.0210253,156
0.0357341,156
0.0380624,156
0.0414723,156
0.033824,157
0.0431458,157
0.0441498,157
0.045441,157
0.0492582,158
0.0561101,158
0.0586729,158
0.0546115,158
0.0553895,159
0.0552468,159
0.0542696,159
0.0448459,159
0.045224,160
0.0401465,160
0.0483108,160
0.0533297,160
0.0680816,161
0.0668015,161
0.0829904,161
0.0860895,161
0.0857123,162
0.0850594,162
0.0916234,162
0.0918467,162
0.0930122,162
0.092073,163
0.0932724,163
0.089121,163
0.0955092,163
0.111141,163
0.110793,163
0.115518,164
0.103131,164
0.10326,164
0.106306,164
0.101798,164
0.0955785,164
0.101399,164
0.0886546,165
0.07986,165
0.0677882,165
0.0720782,165
0.0640729,165
0.0686754,165
0.055115,166
0.0495506,166
0.0440829,166
0.044215,166
0.0438894,167
0.0359254,167
0.0388439,167
0.037002,167
0.0387761,167
0.0346278,168
0.0296412,168
0.0404442,168
0.041034,168
0.0416185,169
0.0405419,169
0.0422401,169
0.0483061,169
0.0497295,169
0.0542852,169
0.0488878,170
0.0450796,170
0.0457018,170
0.0478596,170
0.0405642,170
0.0317715,171
0.0375703,171
0.0392345,171
0.043801,171
0.0391415,172
0.0436272,172
0.0432989,172
0.0433794,172
0.0406153,172
0.0398731,173
0.0389344,173
0.0448843,173
0.0458511,173
0.0575453,174
0.0600029,174
0.0633158,174
0.0645624,175
0.0583076,175
0.0598998,175
0.0577322,175
0.0586871,176
0.0561096,176
0.0618068,176
0.057677,176
0.0567945,177
0.0559691,177
0.0608864,177
0.0585557,177
0.0541522,178
0.0482912,178
0.0419516,178
0.0347664,178
0.0302237,179
0.0284929,179
0.0321554,179
0.0330333,179
0.0408246,180
0.0467861,180
0.0486146,180
0.0512892,181
0.0597478,181
0.0650967,181
0.0659893,181
0.063595,182
0.0630558,182
0.0614874,182
0.0568722,183
0.0476367,183
0.0526033,183
0.0536412,183
0.0538864,183
0.0478794,184
0.0421693,184
0.0403111,184
0.0439069,184
0.0467061,184
0.0468997,185
0.0395148,185
0.0360408,186
0.034258,186
0.0366484,186
0.0401597,187
0.0427813,187
0.0438709,187
0.0456028,188
0.0437898,188
0.0463171,188
0.0432606,189
0.0353185,189
0.0382596,189
0.0287984,190
0.0269773,190
0.0233791,190
0.022182,190
0.0230865,191
0.0231651,191
0.0228024,192
0.0268438,192
0.0221778,193
0.0270183,193
0.0147312,194
0.0104032,194
